model,model_short,regime,coverage,accuracy_mean,accuracy_seed_ci_low,accuracy_seed_ci_high,aurc_mean,ece_raw_mean,ece_calibrated_mean
a5_vimd_full,A5-VIMD,clean_retention,0.7,0.7094,0.7038605867052483,0.7149394132947517,0.16620989098660957,0.11739809471473098,0.1381145836177468
a5_vimd_full,A5-VIMD,clean_retention,0.9,0.607288888888889,0.6026707174764843,0.6119070603012937,0.16620989098660957,0.11739809471473098,0.1381145836177468
a5_vimd_full,A5-VIMD,clean_retention,1.0,0.5622399999999999,0.5577243404196773,0.5667556595803224,0.16620989098660957,0.11739809471473098,0.1381145836177468
cssl_amc_supervised_adaptation,CSSL,hard_interference,0.1,0.9187999999999998,0.911719933934736,0.9258800660652636,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,hard_interference,0.2,0.8394,0.829848802047647,0.8489511979523531,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,hard_interference,0.3,0.7297333333333335,0.7190500078569355,0.7404166588097314,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,hard_interference,0.5,0.5697599999999999,0.5646196851030241,0.5749003148969758,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,hard_interference,0.7,0.47619999999999996,0.47142312552395393,0.480976874476046,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,hard_interference,0.9,0.4121777777777778,0.4076387167468999,0.41671683880865573,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,hard_interference,1.0,0.38766000000000006,0.38284583758360957,0.39247416241639055,0.38284900081002704,0.17810852951824666,0.08046303154200315
cssl_amc_supervised_adaptation,CSSL,id_test,0.1,0.9906,0.9864397077146415,0.9947602922853586,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,id_test,0.2,0.9788,0.9747002843639182,0.9828997156360818,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,id_test,0.3,0.938,0.9325300153001449,0.943469984699855,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,id_test,0.5,0.7741600000000001,0.7671715004007237,0.7811484995992765,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,id_test,0.7,0.6451999999999999,0.6402002242910516,0.6501997757089482,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,id_test,0.9,0.5526666666666666,0.5469945727308028,0.5583387606025305,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,id_test,1.0,0.5154400000000001,0.5101634433227493,0.5207165566772509,0.22061416285432572,0.10617528354257347,0.06848716158896685
cssl_amc_supervised_adaptation,CSSL,combined_ood,0.1,0.9818000000000001,0.9766436929539623,0.986956307046038,0.24394589728612354,0.1122961869865656,0.06880067223131656
