regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
unseen_jammer,snr_db,-10.0,iqformer_inspired,IQFormer,637,0.1981061638213255,0.0120626497341535,0.2177394034536892,0.0110523702343618
unseen_jammer,snr_db,-6.0,a0_backbone,A0,585,0.2745190269062527,0.0170123803152252,0.3042735042735042,0.0162568007039169
unseen_jammer,snr_db,-6.0,a5_vimd_full,A5-VIMD,585,0.3061084474929977,0.0163674331537963,0.3336752136752137,0.0132115115634775
unseen_jammer,snr_db,-6.0,cssl_amc_supervised_adaptation,CSSL,585,0.2298545939737962,0.0137543164129736,0.2333333333333333,0.013846271088573
unseen_jammer,snr_db,-6.0,mcldnn_reimplementation,MCLDNN,585,0.4024114512929488,0.0134806855492969,0.4335042735042735,0.0083432502416971
unseen_jammer,snr_db,-6.0,iqformer_inspired,IQFormer,585,0.3895898494064236,0.0172669507919396,0.418974358974359,0.0166796890708363
unseen_jammer,snr_db,-2.0,a0_backbone,A0,609,0.4034520868229214,0.0173914408525994,0.4229885057471264,0.0182225735247343
unseen_jammer,snr_db,-2.0,a5_vimd_full,A5-VIMD,609,0.4493803763514327,0.012751325590246,0.4594417077175697,0.0092823062619376
unseen_jammer,snr_db,-2.0,cssl_amc_supervised_adaptation,CSSL,609,0.4032769745978443,0.0115285623716053,0.41559934318555,0.0127767340979299
unseen_jammer,snr_db,-2.0,mcldnn_reimplementation,MCLDNN,609,0.558390242255865,0.013698852732207,0.5770114942528736,0.0118206327195998
unseen_jammer,snr_db,-2.0,iqformer_inspired,IQFormer,609,0.5754861604581615,0.0178814896609408,0.586863711001642,0.0145885769011123
unseen_jammer,snr_db,2.0,a0_backbone,A0,607,0.4727687915752133,0.0135033944421189,0.4884678747940691,0.0116815197068548
unseen_jammer,snr_db,2.0,a5_vimd_full,A5-VIMD,607,0.5168909244784492,0.0133878334244154,0.5232289950576606,0.0093581146201607
unseen_jammer,snr_db,2.0,cssl_amc_supervised_adaptation,CSSL,607,0.5624066911866816,0.0144702478311265,0.5678747940691927,0.0111478562899091
unseen_jammer,snr_db,2.0,mcldnn_reimplementation,MCLDNN,607,0.6752795215401882,0.013630845448401,0.6856672158154861,0.0116180995423243
unseen_jammer,snr_db,2.0,iqformer_inspired,IQFormer,607,0.6848243837174117,0.0217832974042982,0.6894563426688632,0.0195893014626435
unseen_jammer,snr_db,6.0,a0_backbone,A0,635,0.501927500061415,0.0138198658019379,0.5228346456692913,0.0115485564304462
unseen_jammer,snr_db,6.0,a5_vimd_full,A5-VIMD,635,0.5422487881851346,0.0134114054983086,0.5555905511811023,0.0104407852098283
unseen_jammer,snr_db,6.0,cssl_amc_supervised_adaptation,CSSL,635,0.623431367895521,0.0158823693755644,0.6371653543307086,0.014398903244929
unseen_jammer,snr_db,6.0,mcldnn_reimplementation,MCLDNN,635,0.687405082368978,0.0113079478496602,0.7058267716535434,0.0099266743547068
unseen_jammer,snr_db,6.0,iqformer_inspired,IQFormer,635,0.7059477682767694,0.0072243706592842,0.7122834645669291,0.0063449781074611
unseen_jammer,snr_db,10.0,a0_backbone,A0,662,0.5060492235191294,0.0111447533530545,0.515105740181269,0.0075360672442576
unseen_jammer,snr_db,10.0,a5_vimd_full,A5-VIMD,662,0.5407822543667412,0.0160764009773634,0.540332326283988,0.011461132991612
unseen_jammer,snr_db,10.0,cssl_amc_supervised_adaptation,CSSL,662,0.637410424016741,0.017686763213608,0.6570996978851964,0.014558743499296
unseen_jammer,snr_db,10.0,mcldnn_reimplementation,MCLDNN,662,0.6864541134018958,0.0112873665315214,0.7089123867069487,0.0101968408382467
unseen_jammer,snr_db,10.0,iqformer_inspired,IQFormer,662,0.7335781985020328,0.0169512856258136,0.7480362537764351,0.0143976362543093
unseen_jammer,snr_db,14.0,a0_backbone,A0,621,0.5140875495146001,0.0111794124177397,0.5428341384863123,0.0101120718035675
unseen_jammer,snr_db,14.0,a5_vimd_full,A5-VIMD,621,0.5588476038793196,0.0071802643154338,0.578743961352657,0.0052152261090675
unseen_jammer,snr_db,14.0,cssl_amc_supervised_adaptation,CSSL,621,0.6446071462821842,0.0195519695502946,0.6669887278582931,0.016312822371427
unseen_jammer,snr_db,14.0,mcldnn_reimplementation,MCLDNN,621,0.6986069085695454,0.0115424913276549,0.7247987117552335,0.0120133093606341
unseen_jammer,snr_db,14.0,iqformer_inspired,IQFormer,621,0.7415629998549551,0.0146789176805568,0.7557165861513687,0.0133665094811253
unseen_jammer,snr_db,18.0,a0_backbone,A0,644,0.5057948731412811,0.0160385231776255,0.5273291925465838,0.0123184056154397
unseen_jammer,snr_db,18.0,a5_vimd_full,A5-VIMD,644,0.53666558551074,0.0134208543521301,0.5524844720496895,0.011358895837967
unseen_jammer,snr_db,18.0,cssl_amc_supervised_adaptation,CSSL,644,0.6509760296383384,0.0189149019237379,0.6774844720496895,0.0154769694507488
unseen_jammer,snr_db,18.0,mcldnn_reimplementation,MCLDNN,644,0.699733397301122,0.0064767212827876,0.7354037267080746,0.007822416350854
unseen_jammer,snr_db,18.0,iqformer_inspired,IQFormer,644,0.7565954070760511,0.0136911235847988,0.7799689440993789,0.0103013774213598
unseen_jammer,sir_db,-10.0,a0_backbone,A0,983,0.2466262361554536,0.0101305465411457,0.2686673448626653,0.0079878994579071
unseen_jammer,sir_db,-10.0,a5_vimd_full,A5-VIMD,983,0.2824455239860783,0.0160781937592494,0.2974567650050864,0.0110527222990645
unseen_jammer,sir_db,-10.0,cssl_amc_supervised_adaptation,CSSL,983,0.3167788522318395,0.009348397275196,0.3166836215666327,0.0076736611050441
unseen_jammer,sir_db,-10.0,mcldnn_reimplementation,MCLDNN,983,0.4205256837552106,0.0172635875216793,0.4292980671414039,0.0163260808643075
unseen_jammer,sir_db,-10.0,iqformer_inspired,IQFormer,983,0.4092551435715538,0.0175945008852203,0.4279755849440488,0.0168463804155323
unseen_jammer,sir_db,-5.0,a0_backbone,A0,1017,0.3656685492871647,0.0173371659508796,0.3870206489675517,0.0136421204553425
unseen_jammer,sir_db,-5.0,a5_vimd_full,A5-VIMD,1017,0.3940121028478797,0.0147379516122513,0.415732546705998,0.0104658066169668
unseen_jammer,sir_db,-5.0,cssl_amc_supervised_adaptation,CSSL,1017,0.4333463947070225,0.0150001436819886,0.4422812192723697,0.0129687523976034
unseen_jammer,sir_db,-5.0,mcldnn_reimplementation,MCLDNN,1017,0.5556982211090531,0.0167096506535148,0.5781710914454277,0.0110080993928198
