split,sir_db,snr_db_mean,occupancy_mean,row_count,gain_vs_IQFormer,gain_vs_MCLDNN,gain_vs_CSSL,gain_vs_A0
unseen_speed,5.0,3.3384616374969482,0.3949986398220062,260,-0.1487690033099835,-0.13320983058741562,-0.025411998540096552,0.04228915475333197
unseen_speed,5.0,3.5193798542022705,0.8095350861549377,258,-0.09426920468041292,-0.08194901245642482,0.03355870645341788,0.03376398118659505
unseen_speed,10.0,4.3430962562561035,1.8602996760819224e-06,239,-0.17527296838464065,-0.11379797270267063,-0.07218860356409038,0.0357784399579265
unseen_speed,10.0,4.3183674812316895,0.1308998316526413,245,-0.20229311580309045,-0.1729100354908785,-0.10144359307986273,0.01599052869956833
unseen_speed,10.0,4.947368621826172,0.3909398019313812,247,-0.1525235136032594,-0.11151935777678652,-0.01311638699498573,0.05552877327210197
unseen_speed,10.0,4.122448921203613,0.7991576194763184,245,-0.1645054636218438,-0.13270070619800836,-0.03795152967651049,0.051554889971295426
heldout_channel,-10.0,4.27642297744751,1.1186698429810349e-06,246,-0.16805555003432543,-0.12146179664977064,-0.08668918751891166,0.04308756206622437
heldout_channel,-10.0,4.4285712242126465,0.13857097923755646,252,-0.08901483467867204,-0.09423011809082635,0.01314431003763276,0.046890674312828104
heldout_channel,-10.0,4.007905006408691,0.40962454676628113,253,-0.003823769105458491,0.010399941883753044,0.08250052861309096,0.06587698997130556
heldout_channel,-10.0,3.8181817531585693,0.833103597164154,253,0.04993467704387839,0.15309773226375725,0.21570494475336832,0.06607582669201566
heldout_channel,-5.0,3.646090507507324,7.220389193207666e-07,243,-0.12658005506259368,-0.13806132952146485,-0.06520885322831368,0.022806764844798023
heldout_channel,-5.0,4.5542168617248535,0.14766618609428406,249,-0.14837043748456108,-0.10692524530476658,-0.02598353237340829,0.04602078446098344
heldout_channel,-5.0,3.5058822631835938,0.4072791635990143,255,-0.03701366341785587,-0.04159336361299308,0.054349803375770625,0.03458806862206971
heldout_channel,-5.0,3.7204301357269287,0.8427206873893738,279,0.02063617037097907,0.10498208910936588,0.2178497451959281,0.04497935769130515
heldout_channel,0.0,3.312252998352051,9.793346862352337e-07,253,-0.17283979146593698,-0.1482396512172388,-0.09093201438943975,0.02676688299103442
heldout_channel,0.0,4.722689151763916,0.1359841227531433,238,-0.15564667735676044,-0.1373796486716959,-0.08994628301753389,0.014519261094243101
heldout_channel,0.0,4.308300495147705,0.40088534355163574,253,-0.1308556809262498,-0.10465484049868179,0.016186866089197366,0.023459922797160932
heldout_channel,0.0,3.5185184478759766,0.8183913826942444,216,-0.0330435100893194,0.02459464590898055,0.18618081567064035,0.03980215061196997
heldout_channel,5.0,2.9880478382110596,4.211174768897763e-07,251,-0.17624628401325348,-0.13557861243764427,-0.06117653292377336,0.011021862472993749
heldout_channel,5.0,4.16417932510376,0.14427444338798523,268,-0.15028283438476545,-0.11179666954775551,-0.03938235214652207,0.03804518424899874
heldout_channel,5.0,4.1724138259887695,0.40506041049957275,232,-0.15824547067348488,-0.12650570956926782,-0.0467762463115748,0.03736339440575733
heldout_channel,5.0,4.096774101257324,0.8300572633743286,248,-0.13840390860619814,-0.10680250896154128,0.04702907189895535,0.01567123678074615
heldout_channel,10.0,3.2918288707733154,9.132052696259052e-07,257,-0.1631237733530168,-0.11125994322165493,-0.038715622429881566,0.0321424245154875
heldout_channel,10.0,3.563786029815674,0.14360857009887695,243,-0.1542412255143804,-0.11292728487890114,-0.0562652829337975,0.01971669021187848
heldout_channel,10.0,3.7431907653808594,0.3963271975517273,257,-0.16609196091239276,-0.1457219417351509,-0.054753425613333476,0.036084505994617884
heldout_channel,10.0,4.157480239868164,0.824343204498291,254,-0.1615701119055101,-0.14720840937048457,-0.052802372176038725,0.0403548596481766
combined_ood,-10.0,4.479338645935059,0.007538403384387493,242,-0.20162706681402587,-0.20375876042458954,-0.10362025316437873,0.07403427833364032
combined_ood,-10.0,3.734375,0.0974707156419754,256,-0.08617958299552153,-0.11634770758210906,-0.04435197364854622,0.03558068518550858
combined_ood,-10.0,3.375999927520752,0.15306413173675537,250,-0.09096308113033529,-0.09293867363348522,-0.03779862709252417,0.013755908147773426
combined_ood,-10.0,4.234817981719971,0.7063188552856445,247,-0.13091856451741796,-0.172574950037474,-0.021319700086353498,0.0714844611664989
combined_ood,-5.0,4.738461494445801,0.007503584027290344,260,-0.19583139669277774,-0.1519650012565132,-0.0967911824870729,0.03961550233067811
combined_ood,-5.0,4.0,0.09842167049646378,252,-0.12502499811352116,-0.15214255147981695,-0.01060629581107404,0.03149445539278775
combined_ood,-5.0,4.084941864013672,0.15215817093849182,259,-0.10085839643148065,-0.14196136580427446,-0.022617299055104473,0.0358838027318369
combined_ood,-5.0,3.3064515590667725,0.714368999004364,248,-0.15828841350829595,-0.16154947653918877,-0.020201930522956685,0.06006077123204279
combined_ood,0.0,3.654618501663208,0.007968896999955177,249,-0.1897125768822489,-0.1592031498327333,-0.07982472887530774,0.01723623139937628
combined_ood,0.0,3.3384616374969482,0.09926582872867584,260,-0.23019779707160035,-0.1778826105463009,-0.05513700452215327,0.01254603766486428
combined_ood,0.0,4.0,0.15233419835567474,250,-0.14808641430461114,-0.12055373287157194,-0.014650994473733619,0.023486834118133598
combined_ood,0.0,3.1225297451019287,0.683147668838501,253,-0.12296824187167243,-0.15042277011011254,-0.014714847907321133,0.012033475172061242
combined_ood,5.0,3.781376600265503,0.0076272012665867805,247,-0.2058467260343154,-0.15616173092564156,-0.08012324970869088,0.024549786508932643
combined_ood,5.0,3.991701126098633,0.09955613315105438,241,-0.1483269044879299,-0.12534608742494274,-0.04129461845927028,0.029587126453665513
combined_ood,5.0,3.130044937133789,0.15344737470149994,223,-0.19882833402239058,-0.15015778505795999,-0.0674360391333458,0.038901955836647115
combined_ood,5.0,4.192592620849609,0.6749234795570374,270,-0.1898522114390096,-0.14295140756963862,-0.04500995861737747,0.05447182421682841
combined_ood,10.0,3.0158729553222656,0.007299841847270727,252,-0.17109139182013056,-0.11612206657909215,-0.031197587669229254,0.017762737798163536
combined_ood,10.0,3.9751036167144775,0.09715275466442108,241,-0.2055508764835548,-0.17303814179954788,-0.0853295588934881,0.02311342701369599
combined_ood,10.0,4.089552402496338,0.1524384766817093,268,-0.1776638842305,-0.09496539588697768,-0.05950253125660261,0.005173376388841122
combined_ood,10.0,4.155172348022461,0.6935392022132874,232,-0.21591875154017037,-0.14911200100307004,-0.08767312816658739,0.04832219542511283
clean_retention,0.0,4.257599830627441,0.0,5000,-0.1913871266688684,-0.14091846514067727,-0.09693336064889325,0.029959733675024015
