model,model_short,regime,coverage,accuracy_mean,accuracy_std
a0_backbone,A0,id_test,0.64,0.6918437500000001,0.009292986173124806
a0_backbone,A0,id_test,0.66,0.6801212121212121,0.008718757536852962
a0_backbone,A0,id_test,0.68,0.6687058823529413,0.008516668415956056
a0_backbone,A0,id_test,0.7000000000000001,0.6574571428571429,0.009043557985830827
a0_backbone,A0,id_test,0.7200000000000001,0.647111111111111,0.008450006290530976
a0_backbone,A0,id_test,0.74,0.6372432432432433,0.007813257511363938
a0_backbone,A0,id_test,0.76,0.6278947368421053,0.0077867863232182885
a0_backbone,A0,id_test,0.78,0.6183076923076923,0.008231084301377891
a0_backbone,A0,id_test,0.8,0.6089249999999999,0.00807177007986614
a0_backbone,A0,id_test,0.8200000000000001,0.6001463414634146,0.008028800033763057
a0_backbone,A0,id_test,0.8400000000000001,0.5914761904761903,0.008162496814419084
a0_backbone,A0,id_test,0.86,0.5826511627906976,0.007868274334385
a0_backbone,A0,id_test,0.88,0.5741818181818182,0.0077266785273620055
a0_backbone,A0,id_test,0.9,0.5658666666666666,0.007804328579808689
a0_backbone,A0,id_test,0.92,0.5573913043478261,0.0076708982596056345
a0_backbone,A0,id_test,0.9400000000000001,0.5497446808510638,0.007448361877839063
a0_backbone,A0,id_test,0.9600000000000001,0.5422083333333333,0.007526445146495746
a0_backbone,A0,id_test,0.98,0.5342857142857144,0.007192892455992542
a0_backbone,A0,id_test,1.0,0.5266200000000001,0.00682508445206197
a0_backbone,A0,combined_ood,0.02,1.0,0.0
a0_backbone,A0,combined_ood,0.04,1.0,0.0
a0_backbone,A0,combined_ood,0.06,0.9996666666666666,0.001054092553389449
a0_backbone,A0,combined_ood,0.08,0.9995,0.0010540925533894375
a0_backbone,A0,combined_ood,0.1,0.9994,0.0009660917830792967
a0_backbone,A0,combined_ood,0.12000000000000001,0.9991666666666668,0.0011785113019775802
a0_backbone,A0,combined_ood,0.13999999999999999,0.9971428571428571,0.002233531314201636
a0_backbone,A0,combined_ood,0.16,0.995125,0.002239946675952622
a0_backbone,A0,combined_ood,0.18,0.9934444444444447,0.001920933700724441
a0_backbone,A0,combined_ood,0.19999999999999998,0.9896999999999998,0.0025841396591085764
a0_backbone,A0,combined_ood,0.22,0.9846363636363635,0.004819039374799484
a0_backbone,A0,combined_ood,0.24,0.97525,0.007556883053315149
a0_backbone,A0,combined_ood,0.26,0.9585384615384616,0.009920459470600338
a0_backbone,A0,combined_ood,0.28,0.9370714285714288,0.010564830630847974
a0_backbone,A0,combined_ood,0.30000000000000004,0.9113333333333333,0.012212117034696929
a0_backbone,A0,combined_ood,0.32,0.8835625,0.01244449482256667
a0_backbone,A0,combined_ood,0.34,0.8568235294117648,0.011383361999487685
a0_backbone,A0,combined_ood,0.36000000000000004,0.8301666666666666,0.009442810316143557
a0_backbone,A0,combined_ood,0.38,0.8052105263157895,0.00873130945796353
a0_backbone,A0,combined_ood,0.4,0.7816000000000001,0.00861781101363141
a0_backbone,A0,combined_ood,0.42000000000000004,0.7578571428571428,0.009077505637100091
a0_backbone,A0,combined_ood,0.44,0.7368636363636363,0.009716953839511223
a0_backbone,A0,combined_ood,0.46,0.7168260869565218,0.009696182910453795
a0_backbone,A0,combined_ood,0.48000000000000004,0.6984583333333332,0.00999430779351951
a0_backbone,A0,combined_ood,0.5,0.68196,0.010533248944809642
a0_backbone,A0,combined_ood,0.52,0.665846153846154,0.010493728755559971
a0_backbone,A0,combined_ood,0.54,0.6512592592592592,0.011406498814758878
a0_backbone,A0,combined_ood,0.56,0.6374642857142858,0.010837191882178548
a0_backbone,A0,combined_ood,0.5800000000000001,0.6238620689655171,0.010087213821435022
a0_backbone,A0,combined_ood,0.6,0.6104666666666667,0.009593207473500688
a0_backbone,A0,combined_ood,0.62,0.5968387096774194,0.009262053765681606
a0_backbone,A0,combined_ood,0.64,0.58490625,0.009000687184413561
a0_backbone,A0,combined_ood,0.66,0.5738787878787879,0.008706578532575459
a0_backbone,A0,combined_ood,0.68,0.5635882352941177,0.008931582399979746
a0_backbone,A0,combined_ood,0.7000000000000001,0.5532571428571428,0.007890635685372547
a0_backbone,A0,combined_ood,0.7200000000000001,0.5434722222222221,0.006892086573659735
a0_backbone,A0,combined_ood,0.74,0.5343783783783784,0.00680737794224051
a0_backbone,A0,combined_ood,0.76,0.5252105263157893,0.006526457270679245
a0_backbone,A0,combined_ood,0.78,0.5165384615384616,0.006726935551819173
a0_backbone,A0,combined_ood,0.8,0.5078250000000001,0.006939270294650747
a0_backbone,A0,combined_ood,0.8200000000000001,0.49941463414634146,0.0066101110915780595
a0_backbone,A0,combined_ood,0.8400000000000001,0.49171428571428566,0.00644647712098266
a0_backbone,A0,combined_ood,0.86,0.48418604651162794,0.006188940668592893
a0_backbone,A0,combined_ood,0.88,0.47645454545454546,0.00603802611888231
a0_backbone,A0,combined_ood,0.9,0.468711111111111,0.006191990046886439
a0_backbone,A0,combined_ood,0.92,0.46110869565217394,0.006324264724188685
a0_backbone,A0,combined_ood,0.9400000000000001,0.4541702127659574,0.006563407345280456
a0_backbone,A0,combined_ood,0.9600000000000001,0.4474999999999999,0.006561673228343194
a0_backbone,A0,combined_ood,0.98,0.44040816326530613,0.0064263214577521205
a0_backbone,A0,combined_ood,1.0,0.43338,0.0062042637668694375
a0_backbone,A0,clean_retention,0.02,1.0,0.0
a0_backbone,A0,clean_retention,0.04,1.0,0.0
a0_backbone,A0,clean_retention,0.06,1.0,0.0
a0_backbone,A0,clean_retention,0.08,1.0,0.0
a0_backbone,A0,clean_retention,0.1,1.0,0.0
a0_backbone,A0,clean_retention,0.12000000000000001,0.9998333333333334,0.0005270462766947421
a0_backbone,A0,clean_retention,0.13999999999999999,0.9998571428571429,0.00045175395145263103
