regime,snr_db,occupancy_mean,row_count,usable,f1_a5_vimd_full_mean,f1_mcldnn_reimplementation_mean,f1_iqformer_inspired_mean,gain_vs_IQFormer,gain_vs_MCLDNN
s5_severe_r2,10.0,0.008534780377215756,190,True,0.38324284797155406,0.666924589020687,0.5006444767610883,-0.1174016287895342,-0.2836817410491329
s5_severe_r2,10.0,0.09820488265309578,195,True,0.140275118039559,0.24961620452231797,0.1674061533411769,-0.027131035301617895,-0.10934108648275898
s5_severe_r2,10.0,0.15384670964094124,198,True,0.14179876706380842,0.1508104057688231,0.11941007355579643,0.022388693508011995,-0.009011638705014674
s5_severe_r2,10.0,0.703677798122973,185,True,0.2385855182320041,0.582723417527035,0.3545515510701141,-0.11596603283811,-0.3441378992950309
s5_severe_r2,14.0,0.0091103782771591,218,True,0.4066458994903496,0.6721041239480765,0.5211607773821376,-0.11451487789178799,-0.2654582244577269
s5_severe_r2,14.0,0.10616902333896348,202,True,0.1747117717493914,0.24643156557992874,0.16843774576741938,0.00627402598197202,-0.07171979383053734
s5_severe_r2,14.0,0.15252278790102533,199,True,0.05765939702161767,0.07038950165282032,0.06301688749427545,-0.0053574904726577804,-0.012730104631202652
s5_severe_r2,14.0,0.7081553442159872,191,True,0.22857825559569211,0.5897546902472999,0.34959475798909184,-0.12101650239339973,-0.36117643465160776
s5_severe_r2,18.0,0.008495729910680979,210,True,0.40405226954617496,0.6872257892478365,0.5034691272057065,-0.09941685765953151,-0.28317351970166155
s5_severe_r2,18.0,0.10327667081311567,201,True,0.14445597625625886,0.22898052477019387,0.12512854601944273,0.01932743023681613,-0.08452454851393501
s5_severe_r2,18.0,0.15468930117055482,204,True,0.10911816824249265,0.11731859343062574,0.09879624099410665,0.010321927248386,-0.00820042518813309
s5_severe_r2,18.0,0.6906582924163887,197,True,0.2295118012760406,0.6107915808269261,0.3553646521618286,-0.12585285088578801,-0.3812797795508855
