split,model,model_short,modulation,support,f1_mean,f1_std,recall_mean,collapsed_class
clean_retention,a5_vimd_full,A5-VIMD,PI2BPSK,500,0.7913256134831799,0.013699746932432779,0.8997999999999999,False
clean_retention,a5_vimd_full,A5-VIMD,QPSK,500,0.006788551223914779,0.007249122560025867,0.0036000000000000003,True
clean_retention,a5_vimd_full,A5-VIMD,8PSK,500,0.4136455599202319,0.017543961982079522,0.6844,False
clean_retention,a5_vimd_full,A5-VIMD,16QAM,500,0.010514281985473545,0.009026329650209358,0.0054,True
clean_retention,a5_vimd_full,A5-VIMD,64QAM,500,0.007774388308153616,0.0065752760862999755,0.004000000000000001,True
clean_retention,a5_vimd_full,A5-VIMD,256QAM,500,0.37448593948055076,0.017452511193446,0.6214000000000001,False
clean_retention,a5_vimd_full,A5-VIMD,GMSK,500,0.9360260758323067,0.005471435435913288,0.9403999999999998,False
clean_retention,a5_vimd_full,A5-VIMD,CPFSK,500,0.8012874359379996,0.01189615826384703,0.914,False
clean_retention,a5_vimd_full,A5-VIMD,4FSK,500,0.8203727090129824,0.008960347175026029,0.7612,False
clean_retention,a6_dual_full,A6,BPSK,500,0.8371224006666095,0.008991067945558805,0.7988000000000001,False
clean_retention,a6_dual_full,A6,PI2BPSK,500,0.7953692540687399,0.020464373986332447,0.9052,False
clean_retention,a6_dual_full,A6,QPSK,500,0.012311711880898352,0.009321409805068525,0.0064,True
clean_retention,a6_dual_full,A6,8PSK,500,0.4030539902268206,0.01634584403562443,0.6904,False
clean_retention,a6_dual_full,A6,16QAM,500,0.01015683036069385,0.009354674245044235,0.005200000000000001,True
clean_retention,a6_dual_full,A6,64QAM,500,0.008963828681964754,0.008554347191864793,0.0046,True
clean_retention,a6_dual_full,A6,256QAM,500,0.36722970030833635,0.01857705377632416,0.5850000000000002,False
clean_retention,a6_dual_full,A6,GMSK,500,0.936542885510778,0.005989513630761372,0.9414,False
clean_retention,a6_dual_full,A6,CPFSK,500,0.8034981909689156,0.008909246357790727,0.9118,False
clean_retention,a6_dual_full,A6,4FSK,500,0.8141712607587479,0.009350719102878642,0.7566,False
clean_retention,a7_vimd_no_residual,A7,BPSK,500,0.8392228192160074,0.014174908905632753,0.7904,False
clean_retention,a7_vimd_no_residual,A7,PI2BPSK,500,0.7930873414060391,0.015962804749005632,0.8996000000000001,False
clean_retention,a7_vimd_no_residual,A7,QPSK,500,0.0111099363106016,0.008093825648547314,0.0058000000000000005,True
clean_retention,a7_vimd_no_residual,A7,8PSK,500,0.414811762931827,0.017794318245293754,0.6888,False
clean_retention,a7_vimd_no_residual,A7,16QAM,500,0.004712926017100056,0.005783914446571714,0.0024000000000000002,True
clean_retention,a7_vimd_no_residual,A7,64QAM,500,0.00882183260645064,0.008823418583954095,0.0046,True
clean_retention,a7_vimd_no_residual,A7,256QAM,500,0.37290487024399055,0.014532206925477879,0.6174,False
clean_retention,a7_vimd_no_residual,A7,GMSK,500,0.9372560910457273,0.005100363225255476,0.9414000000000001,False
clean_retention,a7_vimd_no_residual,A7,CPFSK,500,0.8049660442705002,0.017454707535614476,0.9056000000000001,False
clean_retention,a7_vimd_no_residual,A7,4FSK,500,0.8133347417584895,0.009249185915849065,0.763,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,BPSK,500,0.8193045873591146,0.025250829883652636,0.8416,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,PI2BPSK,500,0.7969261518847329,0.020250316802119542,0.7928000000000001,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,QPSK,500,0.6106691914485314,0.01951624095565237,0.5882,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,8PSK,500,0.6376064840385183,0.008931702138179672,0.6794,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,16QAM,500,0.20488683024913765,0.01568030259370367,0.17839999999999998,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,64QAM,500,0.2130133470595506,0.02220971293103209,0.18619999999999998,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,256QAM,500,0.3185290978956441,0.01931193269855606,0.37479999999999997,False
