regime,stratum_type,stratum,model,model_short,row_count,macro_f1_mean,macro_f1_std
unseen_jammer,speed_kmh,120,cssl_amc_supervised_adaptation,CSSL,1261,0.49211713028318294,0.016072016814900125
unseen_jammer,speed_kmh,120,mcldnn_reimplementation,MCLDNN,1261,0.5957896242314014,0.012603470389489757
unseen_jammer,speed_kmh,120,iqformer_inspired,IQFormer,1261,0.6048829754335626,0.012273144631234585
unseen_jammer,speed_kmh,150,a0_backbone,A0,1260,0.43400323665033386,0.015054340086082226
unseen_jammer,speed_kmh,150,a5_vimd_full,A5-VIMD,1260,0.46769956999790513,0.011201798480665744
unseen_jammer,speed_kmh,150,cssl_amc_supervised_adaptation,CSSL,1260,0.49118111947125004,0.011179286362860627
unseen_jammer,speed_kmh,150,mcldnn_reimplementation,MCLDNN,1260,0.5973515843650492,0.008898098374252922
unseen_jammer,speed_kmh,150,iqformer_inspired,IQFormer,1260,0.6169279836884354,0.012054032356221012
unseen_jammer,occupancy_quartile,"Q1 [0.000,0.031]",a0_backbone,A0,1250,0.4731810436610556,0.01148678690924471
unseen_jammer,occupancy_quartile,"Q1 [0.000,0.031]",a5_vimd_full,A5-VIMD,1250,0.5125405693162842,0.010161995309346233
unseen_jammer,occupancy_quartile,"Q1 [0.000,0.031]",cssl_amc_supervised_adaptation,CSSL,1250,0.5770553781441347,0.011837869774714592
unseen_jammer,occupancy_quartile,"Q1 [0.000,0.031]",mcldnn_reimplementation,MCLDNN,1250,0.6615174210813073,0.011326215143996793
unseen_jammer,occupancy_quartile,"Q1 [0.000,0.031]",iqformer_inspired,IQFormer,1250,0.6977455524668862,0.014592937124185282
unseen_jammer,occupancy_quartile,"Q2 [0.031,0.134]",a0_backbone,A0,1250,0.3869058473958104,0.013497448129948086
unseen_jammer,occupancy_quartile,"Q2 [0.031,0.134]",a5_vimd_full,A5-VIMD,1250,0.42048264915960704,0.012461555499674617
unseen_jammer,occupancy_quartile,"Q2 [0.031,0.134]",cssl_amc_supervised_adaptation,CSSL,1250,0.4510676304128742,0.01363736137100617
unseen_jammer,occupancy_quartile,"Q2 [0.031,0.134]",mcldnn_reimplementation,MCLDNN,1250,0.5482148420203382,0.012924911604060233
unseen_jammer,occupancy_quartile,"Q2 [0.031,0.134]",iqformer_inspired,IQFormer,1250,0.5569610519568509,0.013333010668275221
unseen_jammer,occupancy_quartile,"Q3 [0.134,0.205]",a0_backbone,A0,1250,0.33303006246174566,0.015248712727106109
unseen_jammer,occupancy_quartile,"Q3 [0.134,0.205]",a5_vimd_full,A5-VIMD,1250,0.3459048189699829,0.014390769596201723
unseen_jammer,occupancy_quartile,"Q3 [0.134,0.205]",cssl_amc_supervised_adaptation,CSSL,1250,0.3948792949745676,0.011641560450421569
unseen_jammer,occupancy_quartile,"Q3 [0.134,0.205]",mcldnn_reimplementation,MCLDNN,1250,0.49267343856823037,0.022743245589914952
unseen_jammer,occupancy_quartile,"Q3 [0.134,0.205]",iqformer_inspired,IQFormer,1250,0.49272868446020573,0.014778710779521555
unseen_jammer,occupancy_quartile,"Q4 [0.205,0.995]",a0_backbone,A0,1250,0.4062883401209888,0.018609010466216408
unseen_jammer,occupancy_quartile,"Q4 [0.205,0.995]",a5_vimd_full,A5-VIMD,1250,0.45092313960031005,0.007930688871579652
unseen_jammer,occupancy_quartile,"Q4 [0.205,0.995]",cssl_amc_supervised_adaptation,CSSL,1250,0.47560456487049285,0.009908187184528022
unseen_jammer,occupancy_quartile,"Q4 [0.205,0.995]",mcldnn_reimplementation,MCLDNN,1250,0.5882223493896037,0.009441624542490002
unseen_jammer,occupancy_quartile,"Q4 [0.205,0.995]",iqformer_inspired,IQFormer,1250,0.6019305105796071,0.0151091126116624
