regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
heldout_channel,sir_db,-10.0,iqformer_inspired,IQFormer,1004,0.5116089665579443,0.016385105500704628,0.5342629482071712,0.014901084889958364
heldout_channel,sir_db,-5.0,a0_backbone,A0,1026,0.41392106133707723,0.011618742091466404,0.4499025341130604,0.010845558873921416
heldout_channel,sir_db,-5.0,a5_vimd_full,A5-VIMD,1026,0.45051666150902303,0.012023081569679538,0.48313840155945414,0.013799447157537564
heldout_channel,sir_db,-5.0,cssl_amc_supervised_adaptation,CSSL,1026,0.4064998382303486,0.011253649357288164,0.40477582846003896,0.00838496204972436
heldout_channel,sir_db,-5.0,mcldnn_reimplementation,MCLDNN,1026,0.4960896850046733,0.014706163387632845,0.5090643274853802,0.011830947359899431
heldout_channel,sir_db,-5.0,iqformer_inspired,IQFormer,1026,0.5214111484223762,0.01721488596672372,0.542495126705653,0.017266109304331527
heldout_channel,sir_db,0.0,a0_backbone,A0,960,0.44911384902438856,0.013139234244816103,0.48395833333333327,0.012278123423993382
heldout_channel,sir_db,0.0,a5_vimd_full,A5-VIMD,960,0.47405073619997695,0.009201661070623028,0.5090625,0.010040067300017911
heldout_channel,sir_db,0.0,cssl_amc_supervised_adaptation,CSSL,960,0.48024743126484104,0.010161937584938885,0.4801041666666667,0.010650726841539343
heldout_channel,sir_db,0.0,mcldnn_reimplementation,MCLDNN,960,0.5713032271604706,0.012539328459591789,0.589375,0.008698592372289857
heldout_channel,sir_db,0.0,iqformer_inspired,IQFormer,960,0.6016280446193163,0.019918675774225014,0.6177083333333333,0.020090939085401993
heldout_channel,sir_db,5.0,a0_backbone,A0,999,0.48884021563613167,0.00726333345450346,0.5009009009009009,0.006873864147784105
heldout_channel,sir_db,5.0,a5_vimd_full,A5-VIMD,999,0.5123980323870592,0.00835593881184652,0.5221221221221221,0.007434112748286208
heldout_channel,sir_db,5.0,cssl_amc_supervised_adaptation,CSSL,999,0.5349765448375269,0.009282668326825868,0.536036036036036,0.010023903160360233
heldout_channel,sir_db,5.0,mcldnn_reimplementation,MCLDNN,999,0.6270992361018086,0.01677281835389068,0.6353353353353354,0.01184447356058563
heldout_channel,sir_db,5.0,iqformer_inspired,IQFormer,999,0.6665676146541987,0.01562961453586316,0.6716716716716716,0.013229381115514867
heldout_channel,sir_db,10.0,a0_backbone,A0,1011,0.4973072038433394,0.012460649111573685,0.5065281899109791,0.012331642469806621
